Makary Lawniczak makary.lawniczak@student.uwm.edu.pl
Klementyna Strojny klementyna.strojny@student.uwm.edu.pl
Czesława Lechowicz czeslawa.lechowicz@student.uwm.edu.pl
Amelia Radzinska amelia.radzinska@student.uwm.edu.pl
Aleksanda Markoska aleksanda.markoska@student.uwm.edu.pl
Józefina Osada jozefina.osada@student.uwm.edu.pl
Faustyna Czarnik faustyna.czarnik@student.uwm.edu.pl
Marietta Cichon marietta.cichon@student.uwm.edu.pl
Aneta Golon aneta.golon@student.uwm.edu.pl
Dorota Balicka dorota.balicka@student.uwm.edu.pl
Anita Kukulska anita.kukulska@student.uwm.edu.pl
Wisława Glod wislawa.glod@student.uwm.edu.pl
Irena Hornik irena.hornik@student.uwm.edu.pl
Kaja Dobkowska kaja.dobkowska@student.uwm.edu.pl
Agnieszka Witucka agnieszka.witucka@student.uwm.edu.pl
Józefa Galkowska jozefa.galkowska@student.uwm.edu.pl
Judyta Burdon judyta.burdon@student.uwm.edu.pl
Beata Tobola beata.tobola@student.uwm.edu.pl
Józefina Strzalkowska jozefina.strzalkowska@student.uwm.edu.pl
Violetta Dzieciol violetta.dzieciol@student.uwm.edu.pl
Zyta Potocka zyta.potocka@student.uwm.edu.pl
Arleta Mileska arleta.mileska@student.uwm.edu.pl
Walentyna Maslanka walentyna.maslanka@student.uwm.edu.pl
Zyta Piorkowska zyta.piorkowska@student.uwm.edu.pl
Alina Skorupska alina.skorupska@student.uwm.edu.pl
Arleta Liszewska arleta.liszewska@student.uwm.edu.pl
Lucyna Rosinska lucyna.rosinska@student.uwm.edu.pl
Józefina Osada jozefina.osada@student.uwm.edu.pl
Maja Gawlak maja.gawlak@student.uwm.edu.pl
Lilia Sapien lilia.sapien@student.uwm.edu.pl
Sara Brozek sara.brozek@student.uwm.edu.pl
Wanessa Podlaska wanessa.podlaska@student.uwm.edu.pl
Józefina Sienicka jozefina.sienicka@student.uwm.edu.pl
Natalia Knapik natalia.knapik@student.uwm.edu.pl
Kornelia Paradowska kornelia.paradowska@student.uwm.edu.pl
Daniela Mikolajewska daniela.mikolajewska@student.uwm.edu.pl
Alina Skorupska alina.skorupska@student.uwm.edu.pl
Gabriela Winnicka gabriela.winnicka@student.uwm.edu.pl
Jolanta Brodzka jolanta.brodzka@student.uwm.edu.pl
Malina Machuga malina.machuga@student.uwm.edu.pl
Irena Klebba irena.klebba@student.uwm.edu.pl
Iwa Cegielska iwa.cegielska@student.uwm.edu.pl
Żaneta Roszkowska zaneta.roszkowska@student.uwm.edu.pl
Agata Smolka agata.smolka@student.uwm.edu.pl
Maryna Koloska maryna.koloska@student.uwm.edu.pl
Bożena Babula bozena.babula@student.uwm.edu.pl
